EAN;PRODUTO;DESCRITIVO
7622300347635;80767;CHOC LACTA BIS 18UN  LIMAO
7622300392031;73745;REFR TANG PRO LARANJA/MAMAO 30G
7622300391850;73752;REFR TANG PRO PESSEGO 30G
7897380000774;73844;LEITE LV  HERCULES 1L SEMI DESNATADO
7891150015203;336505;SH SEDA 350ML POS ALIS QUIMICO
7891150015043;336550;SH SEDA 350ML PRO COLOR
7896434920570;88619;LEITE COND TP 395G  TRIANGULO
7896508200034;89821;ACUCAR  REF 1KG  ALTO ALEGRE
7891000043684;93521;BOMBOM CX NESTLE 200G ESPECIALIDAD
7622300386665;99011;REFR TANG PRO ABACAXI C/COCO 30G
;4978;SUINO BACON kg GRANEL SEARA
7896462301372;98175;REFRIG DOLLY 2L CITRUS
7891150015036;281379;CR SEDA P/PENTEAR 300G PRO COLOR
7791293020389;296861;DES AXE AERO COMPACT 58G EXCITE(90ML)
7622300388683;286237;REFR FRESH GUARANA C/TOQUE LARANJA
7622300388706;286244;REFR FRESH LARANJA C/TOQUE MARACUJA
7622300388126;286251;REFR TANG PRO JABUTICABA 30G
7891000051351;52151;BISC PASSAT 140G RECH CHOCOLATE
;97;BOV 2 ACEM SÓ MIOLO C/OSSO
7898934567019;52192;CARVAO FOGO FORTE 2KG
